Producer      Producer key                                              Url                                                         Scaled votes
eosflareiobp  EOS6FLARENUBrQSqSRWk4BZG6oyUcepnTb1T6j3LgrExpJaL4gk89     https://eosflare.io                                         0.0050
jrrcryptoeos  EOS7JR4vL3P2qgPwfMagZDqAtRLjB38qQCe6xw87gefVV73x85bsw     http://www.eosjrr.io/                                       0.0049
eosmotioneos  EOS5JEphcJgHbvVqnKwz93Buq5SUCkkZkgwdiTbXfgF8steHpJuj4     https://project.motion.one                                  0.0049
eospaceioeos  EOS7dZPHgFJXwHz84JWf5QgybxLpp95cxYE5c4yngsrSqgVFczaPs     https://eospacex.com                                        0.0048
eosmetaliobp  EOS6nTwVt2xXPqj49crMpFRpe6ooMi8od5RMSS763Rvfv7Hh2SQNT     https://eosmetal.io                                         0.0048
eosunion1111  EOS5YrPTWCKNHHLuntq13Q9X6M2CFCNGb21GqrcjUexqBBjxpCG7H     http://eosunion.io/                                         0.0048
blockmatrix1  EOS6oNSm6QKnMBzJDHiA32KsEjSgKKt1nGdPYfc2wZU34HA9GjP9q     https://blockmatrix.network                                 0.0044
eosantpoolbp  EOS6F9hDeGD3unoq67N9pmLVXKvsLTqi7wx3Ly9kxq4fZB3qLTjcs     https://www.eosantpool.com                                  0.0043
chainriftxxx  EOS7RQ6fJTDzZTSoL6tmzXwfs9FLZTUPWDe6pNAhqqWHvcAxG7qdN     https://eos.chainrift.com                                   0.0036
eoseouldotio  EOS6SSA4gYCSZ3q9NWpxGsYDv5MWjSwKseyq25RRZexwj8EM6YHDa     https://www.eoseoul.io                                      0.0029
eosfishrocks  EOS4xAhqjLs5fsCzw7QsGYJtRDVo3t2xRFCHd7amGEWwhjSb5DPZT     https://bp.fish                                             0.0027
eosvibesbloc  EOS5wjoLzkppkupmajDM59StKoFSR9AZugfnRSkuBZKDgTrBHP6ZZ     https://eosvibes.io                                         0.0026
acroeos12345  EOS56PyKoHXwyRkwDzr2uNhgDRioPoq5TwdN8Pm2hQGko7jrup2W5     https://acroeos.one                                         0.0025
eosukblocpro  EOS7SQTW7Mz3zQwTrq1KTeVzWx7bHjqR3HffTCCRxRRzvrJFS2qjs     https://eosuk.io                                            0.0021
eoscandyone1  EOS8SZrDZ6s1H9wrJrzeUqqm4QFXFgUZ9515osJsAbsgth4RknaeP     https://candy.one/                                          0.0020
-L eoswinwinwin for more
